"rowid","fpl_hostname","fpl_letter","fpl_name","fpl_discmethod","fpl_controvflag","fpl_disc","fpl_orbper","fpl_smax","fpl_eccen","fpl_bmasse","fpl_bmassj","fpl_bmassprov","fpl_rade","fpl_radj","fpl_rads","fpl_dens","fpl_eqt","fpl_insol","fpl_tranflag","fpl_cbflag","fpl_snum","ra_str","ra","dec_str","dec","fst_dist","fst_optmag","fst_optmagband","fst_nirmag","fst_nirmagband","fst_spt","fst_teff","fst_logg","fst_lum","fst_mass","fst_rad","fst_met","fst_metratio","fst_age"
"0","Earth","b","Earth","Radial Velocity","0","0","1000","3","0.3","1000","20","Mass","12.4","1.03","0.1","10","","","0","0","1","19h41m51.97s","50","+10d50m21.4s","30","40","3","V (Johnson)","3","Ks (2MASS)","K0 III","4742","3","1","1.5","7","-0.01","[Fe/H]","0.4"
"1","11 Com","b","11 Com b","Radial Velocity","0","2007","326.03","1.29","0.231","6165.6","19.4","Msini","12.1","1.08","0.111","19.1","","","0","0","1","12h20m43.03s","185.179276","+17d47m34.3s","17.792868","93.37","4.74","V (Johnson)","2.282","Ks (2MASS)","K0 III","4742","2.31","2.2430000000000003","2.7","19","-0.35","[Fe/H]","4.236718483690839"
"2","11 UMi","b","11 UMi b","Radial Velocity","0","2009","516.21997","1.53","0.08","4684.8142","14.74","Msini","12.3","1.09","0.11199999999999999","13.8","","","0","0","1","15h17m05.89s","229.27453599999998","+71d49m26.0s","71.823898","125.72","5.016","V (Johnson)","1.939","Ks (2MASS)","K4 III","4213","1.93","2.43","2.78","29.79","-0.02","[Fe/H]","1.56"
"3","14 And","b","14 And b","Radial Velocity","0","2008","185.84","0.83","0","1525.5","4.8","Msini","12.9","1.15","0.11800000000000001","3.9","","","0","0","1","23h31m17.42s","352.822571","+39d14m10.3s","39.236198","75.59","5.227","V (Johnson)","2.331","Ks (2MASS)","G8 III","4813","2.63","1.7630000000000001","2.2","11","-0.24","[Fe/H]","4.5"
"4","14 Her","b","14 Her b","Radial Velocity","0","2002","1773.40002","2.93","0.37","1481.0878","4.66","Msini","12.9","1.15","0.11800000000000001","3.79","","","0","0","1","16h10m24.31s","242.60130299999997","+43d49m03.5s","43.817646","17.94","6.61","V (Johnson)","4.7139999999999995","Ks (2MASS)","K0 V","5338","4.45","-0.151","0.9","0.93","0.41","[Fe/H]","5.24"
"5","16 Cyg B","b","16 Cyg B b","Radial Velocity","0","1996","798.5","1.66","0.68","565.7374","1.78","Msini","13.5","1.2","0.12300000000000001","1.26","","","0","0","3","19h41m51.97s","295.466553","+50d31m03.1s","50.517525","21.15","6.25","V (Johnson)","4.651","Ks (2MASS)","G2.5 V","5750","4.36","0.1","1.08","1.13","0.06","[Fe/H]","7.4"
"6","18 Del","b","18 Del b","Radial Velocity","0","2008","993.3","2.6","0.08","3273.5","10.3","Msini","12.5","1.11","0.114","9.21","","","0","0","1","20h58m25.94s","314.608063","+10d50m21.4s","10.839286","76.38","5.506","V (Johnson)","3.366","Ks (2MASS)","G6 III","4979","2.82","1.6019999999999999","2.3","8.5","-0.052000000000000005","[Fe/H]","1.1"
"7","1RXS J160929.1-210524","b","1RXS J160929.1-210524 b","Imaging","0","2008","2319.5392238828044","330","","3000","8","Mass","18.647000000000002","1.6640000000000001","0.171","2.54","1700","","0","0","1","16h09m30.30s","242.376268","-21d04m58.9s","-21.083036","145","12.057","G (Gaia)","8.916","Ks (2MASS)","K7 V","4060","4.354839473684218","-0.37","0.85","1.18","0.011107881644409444","[Fe/H]","0.005"
"8","24 Boo","b","24 Boo b","Radial Velocity","0","2018","30.3506","0.19","0.042","289.2253","0.91","Msini","13.9","1.24","0.127","0.592","","","0","0","1","14h28m37.81s","217.15754700000002","+49d50m41.5s","49.844852","96.25","5.58","V (Johnson)","3.159","Ks (2MASS)","G3 IV","4893","2.42","1.774","0.99","10.64","-0.77","[Fe/H]","6.92"
"9","24 Sex","b","24 Sex b","Radial Velocity","0","2010","452.8","1.333","0.09","632.46","1.99","Msini","13.4","1.19","0.12300000000000001","1.44","","","0","0","1","10h23m28.37s","155.86821","-00d54m08.1s","-0.902244","72.21","6.441","V (Johnson)","4.285","Ks (2MASS)","K0 IV","5098","3.5","1.1640000000000001","1.54","4.9","-0.03","[Fe/H]","2.7"
