"rowid","fpl_orbper","fpl_smax","fpl_eccen","fpl_bmasse","fpl_rade","fpl_dens","fpl_tranflag","fpl_cbflag","fpl_snum","dec","fst_optmag","fst_nirmag","fst_spt","fst_teff","fst_logg","fst_lum","fst_mass","fst_rad","fst_met","fst_metratio","fst_age","simil"
"0","1000","3","0.3","1000","12.4","10","0","0","1","30","3","3","K0 III","4742","3","1","1.5","7","-0.01","[Fe/H]","0.4","84.0188"
"1","326.03","1.29","0.231","6165.6","12.1","19.1","0","0","1","17.792868","4.74","2.282","K0 III","4742","2.31","2.2430000000000003","2.7","19","-0.35","[Fe/H]","4.236718483690839","39.4383"
"2","516.21997","1.53","0.08","4684.8142","12.3","13.8","0","0","1","71.823898","5.016","1.939","K4 III","4213","1.93","2.43","2.78","29.79","-0.02","[Fe/H]","1.56","78.3099"
"3","185.84","0.83","0","1525.5","12.9","3.9","0","0","1","39.236198","5.227","2.331","G8 III","4813","2.63","1.7630000000000001","2.2","11","-0.24","[Fe/H]","4.5","79.844"
"4","1773.40002","2.93","0.37","1481.0878","12.9","3.79","0","0","1","43.817646","6.61","4.7139999999999995","K0 V","5338","4.45","-0.151","0.9","0.93","0.41","[Fe/H]","5.24","91.1647"
"5","798.5","1.66","0.68","565.7374","13.5","1.26","0","0","3","50.517525","6.25","4.651","G2.5 V","5750","4.36","0.1","1.08","1.13","0.06","[Fe/H]","7.4","19.7551"
"6","993.3","2.6","0.08","3273.5","12.5","9.21","0","0","1","10.839286","5.506","3.366","G6 III","4979","2.82","1.6019999999999999","2.3","8.5","-0.052000000000000005","[Fe/H]","1.1","33.5223"
"7","2319.5392238828044","330","","3000","18.647000000000002","2.54","0","0","1","-21.083036","12.057","8.916","K7 V","4060","4.354839473684218","-0.37","0.85","1.18","0.011107881644409444","[Fe/H]","0.005","76.823"
"8","30.3506","0.19","0.042","289.2253","13.9","0.592","0","0","1","49.844852","5.58","3.159","G3 IV","4893","2.42","1.774","0.99","10.64","-0.77","[Fe/H]","6.92","27.7775"
"9","452.8","1.333","0.09","632.46","13.4","1.44","0","0","1","-0.902244","6.441","4.285","K0 IV","5098","3.5","1.1640000000000001","1.54","4.9","-0.03","[Fe/H]","2.7","55.397"
"10","883","2.08","0.29","273.32","13.9","0.559","0","0","1","-0.902244","6.441","4.285","K0 IV","5098","3.5","1.1640000000000001","1.54","4.9","-0.03","[Fe/H]","2.7","47.7397"
"11","2319.5392238828044","52","","7786.5","11.209000000000001","30.4","0","0","1","-24.664049","14.24","9.198","M3.5 V","3530","4.354839473684218","-1.72","0.4","1.5409463240905692","0.011107881644409444","[Fe/H]","0.12","62.8871"
"12","2319.5392238828044","156","","4417.837","16.141","5.77","0","0","1","-39.422928000000006","15.012","10.404000000000002","M6","3064","4.59","-2.23","0.11","0.28","0.011107881644409444","[Fe/H]","0.035","36.4784"
"13","2319.5392238828044","15","","2383.6","12.6","6.55","0","0","1","23.030941000000002","18.967","13.161","M8.5","5488.212277202725","4.354839473684218","-0.07515228426395947","0.02","1.5409463240905692","0.011107881644409444","[Fe/H]","0.001","51.3401"
"14","2319.5392238828044","46","","1271","13","3.18","0","0","1","-39.548332","20.15","11.945","M8","5488.212277202725","4.354839473684218","-0.07515228426395947","0.02","1.5409463240905692","0.011107881644409444","[Fe/H]","0.008","95.223"
"15","416","0.92","","603.877","13.4","1.38","0","1","2","46.066418","12.138","12.955","","10868","3.91","0.168","0.48","0.34","-0.092","[Fe/H]","4.236718483690839","91.6195"
"16","7336.5","6.176108677507845","0.26","6657.48","10.31","33.4","0","0","1","16.421758999999998","17.396","11.825999999999999","M8.5","2300","4.354839473684218","-3.48","0.08","0.12","0.011107881644409444","[Fe/H]","4.236718483690839","63.5712"
"17","2319.5392238828044","230","","3972.875","12.3","11.7","0","0","1","47.86182","12.51","9.148","K7 V","4045","4.354839473684218","-1.021","0.6","0.62","0.011107881644409444","[Fe/H]","0.12","71.7297"
"18","335.10001","0.99","0.29","4392.4106","12.3","13","0","0","4","24.648064","6.962000000000001","5.822","F6 V","6331","4.43","0.381","1.93","1.41","0.19","[Fe/H]","0.91","14.1603"
"19","269.3","0.87","0.432","2256.5","12.7","6.05","0","0","1","64.327934","4.61","1.734","K1 III","4415","1.8","2.062","1.23","18.11","-0.25","[Fe/H]","4.604","60.6969"
"20","479.1","1.19","0.38","1233.13","13","3.08","0","0","1","65.563484","4.82","2.085","K1.5 III","4200","1.71","2.155","0.98","22.03","-0.46","[Fe/H]","9.49","1.63006"
"21","1078","2.1","0.032","804.08","13.2","1.92","0","0","1","40.430256","5.05","3.75","G0 V","5892","4.27","0.21600000000000003","1.03","1.23","0","[Fe/H]","7.3","24.2887"
"22","2391","3.6","0.098","171.621","14.2","0.329","0","0","1","40.430256","5.05","3.75","G0 V","5892","4.27","0.21600000000000003","1.03","1.23","0","[Fe/H]","7.3","13.7232"
"23","14002","11.6","0.16","521.22","13.5","1.16","0","0","1","40.430256","5.05","3.75","G0 V","5892","4.27","0.21600000000000003","1.03","1.23","0","[Fe/H]","7.3","80.4177"
"24","11688","12","0.45","635.66","13.4","1.45","0","0","3","-2.473548","5.23","4.537","F0 IV","7190.1","4.354839473684218","0.85","1.75","1.56","-0.027000000000000003","[M/H]","0.02","15.6679"
"25","4.230785","0.0527","0.013","146.2018","14.3","0.275","0","0","1","20.768832999999997","5.5","3.911","G2.5 IV","5793","4.33","0.147","1.12","1.2","0.2","[Fe/H]","4","40.0944"
"26","14.65152","0.115227","0.0034","263.9785","13.9","0.54","0","0","2","28.330818","5.96","4.015","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2","12.979"
"27","44.4175","0.24137600000000003","0.02","54.4738","8.51","0.486","0","0","2","28.330818","5.96","4.015","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2","10.8809"
"28","4825","5.503","0.019","1232.493","13","3.08","0","0","2","28.330818","5.96","4.015","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2","99.8925"
"29","0.736539","0.01544","0.028","8.08","1.91","6.4","1","0","2","28.330818","5.96","4.015","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2","21.8257"
"30","262","0.788","0.305","44.812","7.59","0.563","0","0","2","28.330818","5.96","4.015","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2","51.2932"
"31","934.3","2.11","0.073","638.8383","13.4","1.46","0","0","1","58.162631999999995","5.86","3.701","K0 III-IV","4938","3.19","1.156","1.44","5.2","-0.1","[Fe/H]","2.353","83.9112"
"32","4.215","0.050200999999999996","0.12","5.1","2.11","2.98","0","0","1","-18.311195","4.74","2.9560000000000004","G5 V","5577","4.34","-0.095","0.94","0.96","-0.01","[Fe/H]","8.96","61.264"
"33","38.021","0.2175","0.14","18.2","4.46","1.13","0","0","1","-18.311195","4.74","2.9560000000000004","G5 V","5577","4.34","-0.095","0.94","0.96","-0.01","[Fe/H]","8.96","29.6032"
"34","123.01","0.476","0.35","22.9","5.11","0.943","0","0","1","-18.311195","4.74","2.9560000000000004","G5 V","5577","4.34","-0.095","0.94","0.96","-0.01","[Fe/H]","8.96","63.7552"
"35","796","1.93","0.22","781.8618","13.3","1.83","0","0","1","-19.255878","3.92","1.564","K1 III","4792","3.25","1.053","1.52","2.3","0.21","[Fe/H]","4.236718483690839","52.4287"
"36","116.688","0.481","0.3988","2380.45","12.6","6.54","0","0","1","13.778788","4.97","3.5","G4 V","5495","3.95","0.48700000000000004","1.09","1.89","-0.11","[Fe/H]","7.92","49.3583"
"37","691.9","2.1","0.117","953.49","13.1","2.33","0","0","1","-1.0348959999999998","5.35","3.207","G3 III","4846","2.63","1.73","2.49","10.5","0","[Fe/H]","4.236718483690839","97.2775"
"38","93.4","0.49","0.06","416.3573","13.6","0.91","0","0","1","74.900925","6.83","4.515","K0","4847","2.57","1.725","1.44","10.3","-0.03","[Fe/H]","1.7","29.2517"
"39","952.7","2.5","0.206","1684.4","12.8","4.41","0","0","1","-3.396175","5.65","3.266","G5 III","4785","2.35","1.778","2.4","11","-0.06","[Fe/H]","4.236718483690839","77.1358"
"40","181.4","0.7","0.027","1017","13.1","2.49","0","0","1","-9.087736999999999","4.25","1.597","K0 III","4665","2.52","1.692","1.4","11","-0.03","[Fe/H]","3.56","52.6745"
"41","2319.5392238828044","260","","4290.5","12.3","12.7","0","0","1","-58.05431","9.128","6.981","K2 V","5378","4.44","-0.226","0.9","1","-0.05","[Fe/H]","0.03","76.9914"
"42","481.9","1.3","0.2","2034.112","12.7","5.46","0","0","1","2.7601419999999997","9.58","6.021","","4095","1.89","2.7","1.14","32.35","-0.71","[Fe/H]","5.2","40.0229"
"43","268.94","0.78","0.29","330.5432","13.8","0.691","0","0","1","14.689387","9.63","7.336","K2 V","4864","4.26","-0.424","0.49","0.86","0.17","[Fe/H]","4.236718483690839","89.1529"
"44","153.22","0.576","0.001","337.21763","13.8","0.705","0","0","1","14.616381","10.31","7.718","G5","4649","2.61","1.57","1.08","8.95","-0.22","[Fe/H]","7.41","28.3315"
"45","137.48","0.539","0.26","352.78","13.7","0.754","0","0","1","15.54693","9.046","6.525","K0","4796","2.8","2.01","1.1","14.7","0.28","[Fe/H]","7.1","35.2458"
"46","379.63","1.05","0.15","17668.1697","11.6","62.2","0","0","1","19.891409","9.75","6.42","K2 II","4259","1.77","2.7680000000000002","10.83","71.02","-0.79","[Fe/H]","4.236718483690839","80.7725"
"47","621.99","2.01","0.18","3963.17","12.4","11.4","0","0","1","19.891409","9.75","6.42","K2 II","4259","1.77","2.7680000000000002","10.83","71.02","-0.79","[Fe/H]","4.236718483690839","91.9026"
"48","578.2","1.3","0.21","1334.886","13","3.34","0","0","1","21.005314000000002","9.36","6.169","K5 III","4296","1.99","1.96","0.8","17.3","-0.46","[Fe/H]","4.236718483690839","6.97553"
