rowid,fpl_orbper,fpl_smax,fpl_bmasse,fpl_rade,fpl_dens,fpl_tranflag,fpl_cbflag,fpl_snum,dec,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age,cos_simil,weighted_simil,cluster
0,365.256363,1.000001018,1.0,1.0,5.51,1,0,1,23.4,252.0,5.437751,0.0,1.0,1.0,0.012,0,4.603,1.0,1.0,0
1,326.03,1.29,6165.6,12.1,19.1,0,0,1,17.792868,4742.0,2.31,2.2430000000000003,2.7,19.0,-0.35,0,4.236718483690839,0.6762340531159821,0.7549264025840813,1
2,516.21997,1.53,4684.8142,12.3,13.8,0,0,1,71.823898,4213.0,1.93,2.43,2.78,29.79,-0.02,0,1.56,0.630946235397522,0.6791124813566418,1
3,185.84,0.83,1525.5,12.9,3.9,0,0,1,39.236198,4813.0,2.63,1.763,2.2,11.0,-0.24,0,4.5,0.7182313548431238,0.8093911681623616,1
4,1773.4000199999998,2.93,1481.0878,12.9,3.79,0,0,1,43.817646,5338.0,4.45,-0.151,0.9,0.93,0.41,0,5.24,0.7989073633589818,0.9091862283834429,1
5,798.5,1.66,565.7374,13.5,1.26,0,0,3,50.517525,5750.0,4.36,0.1,1.08,1.13,0.06,0,7.4,0.7289401284302197,0.762205810607614,1
6,993.3,2.6,3273.5,12.5,9.21,0,0,1,10.839286,4979.0,2.82,1.602,2.3,8.5,-0.052000000000000005,0,1.1,0.7297167520982691,0.8071302118418328,1
7,2319.5392238828044,330.0,3000.0,18.647,2.54,0,0,1,-21.083036,4060.0,4.354839473684218,-0.37,0.85,1.18,0.011107881644409444,0,0.005,0.7762443288913912,0.8580646771207708,1
8,30.3506,0.19,289.2253,13.9,0.5920000000000001,0,0,1,49.844852,4893.0,2.42,1.774,0.99,10.64,-0.77,0,6.92,0.6472807545344971,0.7390889328116976,1
9,452.8,1.3330000000000002,632.46,13.4,1.44,0,0,1,-0.902244,5098.0,3.5,1.164,1.54,4.9,-0.03,0,2.7,0.7778955046826589,0.8771534840282761,1
10,883.0,2.08,273.32,13.9,0.5589999999999999,0,0,1,-0.902244,5098.0,3.5,1.164,1.54,4.9,-0.03,0,2.7,0.7773265042408269,0.876305802003324,1
11,2319.5392238828044,52.0,7786.5,11.209,30.4,0,0,1,-24.664049,3530.0,4.354839473684218,-1.72,0.4,1.5409463240905692,0.011107881644409444,0,0.12,0.7911180581506542,0.8793278661066632,1
12,2319.5392238828044,156.0,4417.837,16.141,5.77,0,0,1,-39.42292800000001,3064.0,4.59,-2.23,0.11,0.28,0.011107881644409444,0,0.035,0.7701387750148901,0.8550546946778517,1
13,2319.5392238828044,15.0,2383.6,12.6,6.55,0,0,1,23.030941,5488.212277202725,4.354839473684218,-0.07515228426395948,0.02,1.5409463240905692,0.011107881644409444,0,0.001,0.7941660798665161,0.8767799409636188,1
